model_name,provider,family,release_date,availability,architecture,training_paradigm,parameter_count_B,MMLU_PRO,IFEval,BBH,GPQA,MATH_Lvl_5,MuSR,chatbot_arena_elo,arena_votes,output_tokens_per_second,time_to_first_token_s,source_url,source_note,benchmark_observed,arena_observed,hardware_observed,release_year_month,collected_through,parameter_count_observed,chatbot_arena_elo_observed,hardware_metrics_observed,MMLU_PRO_norm,IFEval_norm,BBH_norm,GPQA_norm,MATH_Lvl_5_norm,MuSR_norm,Average_Score,Average_Score_norm,Elo_norm,Composite_Score,Score_per_Billion_Params,Hardware_Pareto_Index
Qwen2 7B,Alibaba,Qwen,2024-06-07,开放权重,Qwen2ForCausalLM,指令微调,7.0,50.8,75.0,62.8,31.6,35.4,41.5,1238.0,260000,70.0,0.46,https://qwenlm.github.io/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,True,True,True,0.15853658536585352,0.2666666666666664,0.21582733812949642,0.08830548926014327,0.12132352941176465,0.18367346938775503,49.52,0.14484426973087408,0.19230769230769232,0.174,7.074,0.9
Claude 3.5 Sonnet,Anthropic,Claude,2024-06-20,API/闭源,ClosedAPI,原生预训练,,72.4,88.6,79.8,58.1,61.0,62.3,1410.0,1900000,44.0,0.45,https://www.anthropic.com/news/claude-3-5-sonnet,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,False,True,True,0.8170731707317074,0.9142857142857137,0.827338129496403,0.7207637231503581,0.5919117647058824,0.7900874635568512,70.37,0.7753250680374965,0.8538461538461538,0.817,,0.656
Gemma 2 27B,Google,Gemma,2024-06-27,开放权重,GemmaForCausalLM,指令微调,27.0,58.4,80.1,68.4,38.8,43.0,47.4,1280.0,210000,30.5,0.88,https://blog.google/technology/developers/google-gemma-2/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-06,2026-06-05,True,False,True,0.39024390243902424,0.5095238095238089,0.41726618705036006,0.2601431980906921,0.26102941176470584,0.3556851311953352,56.02,0.3413970365890537,0.35384615384615387,0.363,2.075,1.016
Gemma 2 9B,Google,Gemma,2024-06-27,开放权重,GemmaForCausalLM,指令微调,9.0,52.7,76.8,64.0,32.5,35.7,41.9,1255.0,300000,63.0,0.52,https://blog.google/technology/developers/google-gemma-2/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,True,True,True,0.21646341463414637,0.35238095238095196,0.2589928057553958,0.10978520286396184,0.12683823529411767,0.19533527696792993,50.6,0.1775022679165408,0.25769230769230766,0.223,5.622,0.876
ERNIE 4.0 Turbo,Baidu,ERNIE,2024-06-28,API/闭源,ClosedAPI,原生预训练,,63.8,82.8,72.2,45.0,49.4,53.6,1348.0,210000,45.0,0.6,https://yiyan.baidu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,False,True,True,0.5548780487804876,0.6380952380952377,0.5539568345323743,0.40811455847255373,0.3786764705882352,0.5364431486880467,61.13,0.4959177502267918,0.6153846153846154,0.552,,0.743
GPT-4o mini,OpenAI,GPT-o,2024-07-18,API/闭源,ClosedAPI,蒸馏/小模型,,65.1,84.3,73.8,48.6,54.2,55.4,1358.0,1300000,88.0,0.31,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,False,True,True,0.594512195121951,0.7095238095238091,0.6115107913669066,0.49403341288782826,0.46691176470588236,0.5889212827988337,63.57,0.5697006350166315,0.6538461538461539,0.613,,0.413
Llama 3.1 405B,Meta,Llama,2024-07-23,开放权重,LlamaForCausalLM,指令微调,405.0,71.1,87.4,77.2,50.8,53.6,58.3,1401.0,610000,5.2,3.8,https://ai.meta.com/blog/meta-llama-3-1/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,True,True,True,0.7774390243902436,0.8571428571428571,0.7338129496402881,0.5465393794749404,0.45588235294117646,0.6734693877551019,66.4,0.6552766858179622,0.8192307692307692,0.733,0.164,1.426
Llama 3.1 70B,Meta,Llama,2024-07-23,开放权重,LlamaForCausalLM,指令微调,70.0,63.7,82.1,71.4,42.9,46.8,51.2,1358.0,980000,18.0,1.55,https://ai.meta.com/blog/meta-llama-3-1/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,True,True,True,0.5518292682926829,0.6047619047619042,0.5251798561151083,0.35799522673031026,0.33088235294117635,0.4664723032069971,59.68,0.4520713637738132,0.6538461538461539,0.538,0.853,1.015
Llama 3.1 8B,Meta,Llama,2024-07-23,开放权重,LlamaForCausalLM,指令微调,8.0,51.4,74.2,63.8,33.1,31.6,42.4,1248.0,820000,58.0,0.62,https://ai.meta.com/blog/meta-llama-3-1/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,True,True,True,0.1768292682926828,0.22857142857142843,0.2517985611510792,0.1241050119331743,0.05147058823529412,0.20991253644314858,49.42,0.14182038100997899,0.23076923076923078,0.182,6.178,0.927
Mistral Large 2,Mistral AI,Mistral,2024-07-24,API/闭源,ClosedAPI,原生预训练,,67.0,84.2,75.0,50.8,54.4,57.0,1378.0,420000,38.0,0.64,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,False,True,True,0.6524390243902438,0.7047619047619046,0.6546762589928059,0.5465393794749404,0.4705882352941176,0.6355685131195336,64.73,0.6047777441790144,0.7307692307692307,0.659,,0.752
Grok-2,xAI,Grok,2024-08-13,API/闭源,ClosedAPI,原生预训练,,67.2,84.3,74.8,50.5,52.9,56.1,1375.1,760000,41.0,0.7,https://x.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-08,2026-06-05,False,False,True,0.6585365853658536,0.7095238095238091,0.6474820143884893,0.5393794749403342,0.44301470588235287,0.60932944606414,64.3,0.5917750226791654,0.7196153846153842,0.648,,0.733
Phi-3.5 mini,Microsoft,Phi,2024-08-20,开放权重,PhiForCausalLM,指令微调,3.8,45.6,69.4,56.8,27.9,33.5,35.2,1188.0,260000,95.0,0.31,https://techcommunity.microsoft.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-08,2026-06-05,True,True,True,0.0,0.0,0.0,0.0,0.0863970588235294,0.0,44.73,0.0,0.0,0.0,11.771,1.013
GLM-4-Plus,Zhipu AI,GLM,2024-08-27,API/闭源,ClosedAPI,原生预训练,,66.0,84.4,74.6,49.4,54.8,56.8,1374.0,220000,42.0,0.62,https://www.zhipuai.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-08,2026-06-05,False,True,True,0.621951219512195,0.7142857142857143,0.6402877697841727,0.513126491646778,0.47794117647058815,0.629737609329446,64.33,0.5926821892954339,0.7153846153846154,0.648,,0.722
Hunyuan Turbo,Tencent,Hunyuan,2024-09-05,API/闭源,ClosedAPI,原生预训练,,62.2,82.4,71.8,44.8,48.2,52.2,1335.0,190000,58.0,0.44,https://hunyuan.tencent.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-09,2026-06-05,False,True,True,0.5060975609756098,0.6190476190476191,0.5395683453237411,0.4033412887828162,0.35661764705882354,0.4956268221574344,60.27,0.4699123072270942,0.5653846153846154,0.518,,0.669
Qwen2.5 72B,Alibaba,Qwen,2024-09-19,开放权重,Qwen2ForCausalLM,指令微调,72.0,66.4,84.8,73.6,47.2,52.4,55.5,1375.0,720000,16.5,1.42,https://qwenlm.github.io/blog/qwen2.5/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-09,2026-06-05,True,True,True,0.6341463414634146,0.733333333333333,0.6043165467625898,0.460620525059666,0.4338235294117646,0.5918367346938775,63.32,0.5621409132143939,0.7192307692307692,0.634,0.879,0.994
Qwen2.5 7B,Alibaba,Qwen,2024-09-19,开放权重,Qwen2ForCausalLM,指令微调,7.0,53.6,78.5,65.7,34.9,38.2,43.7,1262.0,510000,66.0,0.48,https://qwenlm.github.io/blog/qwen2.5/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-09,2026-06-05,True,True,True,0.2439024390243902,0.43333333333333307,0.32014388489208656,0.16706443914081145,0.17279411764705885,0.2478134110787172,52.43,0.23283943150892056,0.2846153846153846,0.271,7.49,0.838
OpenAI o1,OpenAI,GPT-o,2024-12-05,API/闭源,ClosedAPI,推理强化,,78.4,88.7,83.2,67.8,76.5,68.8,1438.0,1180000,21.0,1.45,https://openai.com/o1/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-12,2026-06-05,False,True,True,1.0,0.9190476190476189,0.9496402877697845,0.9522673031026253,0.8768382352941176,0.9795918367346937,77.23,0.9827638342908983,0.9615384615384616,0.969,,0.918
Llama 3.3 70B,Meta,Llama,2024-12-06,开放权重,LlamaForCausalLM,指令微调,70.0,66.6,84.2,74.0,47.5,55.0,55.2,1382.0,380000,19.5,1.32,https://ai.meta.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-12,2026-06-05,True,True,True,0.6402439024390241,0.7047619047619046,0.6187050359712232,0.46778042959427213,0.4816176470588235,0.5830903790087464,63.75,0.5751436347142426,0.7461538461538462,0.648,0.911,0.952
Gemini 2.0 Flash,Google,Gemini,2024-12-11,API/闭源,ClosedAPI,原生预训练,,69.1,87.2,76.6,53.4,59.1,59.8,1388.0,620000,112.0,0.24,https://blog.google/technology/google-deepmind/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-12,2026-06-05,False,True,True,0.716463414634146,0.8476190476190475,0.7122302158273381,0.6085918854415274,0.556985294117647,0.7172011661807579,67.53,0.6894466283640763,0.7692307692307693,0.733,,0.231
Phi-4,Microsoft,Phi,2024-12-12,开放权重,PhiForCausalLM,指令微调,14.0,57.0,78.8,67.0,41.5,55.0,47.9,1298.0,210000,52.0,0.58,https://techcommunity.microsoft.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-12,2026-06-05,True,True,True,0.347560975609756,0.4476190476190472,0.36690647482014405,0.324582338902148,0.4816176470588235,0.37026239067055383,57.87,0.39733897792561235,0.4230769230769231,0.411,4.134,0.811
DeepSeek V3,DeepSeek,DeepSeek,2024-12-26,开放权重,DeepseekForCausalLM,MoE/模型融合,671.0,73.6,87.2,80.7,59.5,67.8,64.2,1415.0,650000,8.5,2.2,https://www.deepseek.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-12,2026-06-05,True,True,True,0.8536585365853655,0.8476190476190475,0.8597122302158277,0.7541766109785204,0.7169117647058822,0.8454810495626823,72.17,0.8297550650136076,0.8730769230769231,0.847,0.108,1.122
MiniMax-Text-01,MiniMax,MiniMax,2025-01-15,API/闭源,ClosedAPI,长上下文,,66.8,84.2,75.2,51.8,56.4,57.9,1370.0,180000,43.0,0.65,https://www.minimaxi.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-01,2026-06-05,False,True,True,0.6463414634146339,0.7047619047619046,0.6618705035971226,0.5704057279236276,0.5073529411764705,0.661807580174927,65.38,0.6244330208648321,0.7,0.659,,0.722
DeepSeek R1,DeepSeek,DeepSeek,2025-01-20,开放权重,DeepseekForCausalLM,推理强化,671.0,76.0,86.6,82.1,69.8,83.2,67.8,1428.0,740000,7.2,2.8,https://www.deepseek.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-01,2026-06-05,True,True,True,0.9268292682926828,0.8190476190476185,0.9100719424460432,1.0,1.0,0.9504373177842564,77.58,0.9933474448140309,0.9230769230769231,0.951,0.116,1.219
DeepSeek R1 Distill Qwen 7B,DeepSeek,DeepSeek,2025-01-20,开放权重,Qwen2ForCausalLM,蒸馏/推理微调,7.0,57.9,79.4,68.9,45.8,63.4,49.6,1326.0,450000,60.0,0.56,https://www.deepseek.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-01,2026-06-05,True,True,True,0.3749999999999999,0.47619047619047616,0.4352517985611514,0.42720763723150357,0.6360294117647057,0.4198250728862974,60.83,0.48684608406410645,0.5307692307692308,0.501,8.69,0.682
Kimi k1.5,Moonshot AI,Kimi,2025-01-20,API/闭源,ClosedAPI,推理强化,,72.8,86.8,80.0,63.8,74.2,64.8,1415.0,330000,26.0,1.15,https://www.moonshot.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-01,2026-06-05,False,True,True,0.8292682926829266,0.8285714285714282,0.8345323741007196,0.8568019093078759,0.8345588235294118,0.8629737609329445,73.73,0.8769277290595708,0.8730769230769231,0.871,,0.854
OpenAI o3-mini,OpenAI,GPT-o,2025-01-31,API/闭源,ClosedAPI,推理蒸馏,,74.8,86.5,79.6,63.3,72.0,65.1,1408.0,740000,42.0,0.78,https://openai.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-01,2026-06-05,False,True,True,0.8902439024390242,0.8142857142857141,0.8201438848920863,0.8448687350835322,0.7941176470588235,0.8717201166180756,73.55,0.8714847293619595,0.8461538461538461,0.857,,0.69
Grok-3,xAI,Grok,2025-02-17,API/闭源,ClosedAPI,推理增强,,75.0,88.5,81.2,64.5,73.5,66.5,1420.0,460000,36.0,0.82,https://x.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-02,2026-06-05,False,True,True,0.8963414634146339,0.9095238095238093,0.877697841726619,0.8735083532219571,0.8216911764705882,0.9125364431486881,74.87,0.9114000604777747,0.8923076923076924,0.905,,0.738
Grok-3 mini,xAI,Grok,2025-02-17,API/闭源,ClosedAPI,推理蒸馏,,69.4,85.0,76.4,56.4,65.0,60.8,1390.82,260000,68.0,0.48,https://x.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-02,2026-06-05,False,False,True,0.7256097560975611,0.7428571428571425,0.705035971223022,0.6801909307875895,0.6654411764705882,0.7463556851311952,68.83,0.7287571817357121,0.7800769230769228,0.748,,0.472
Claude 3.7 Sonnet,Anthropic,Claude,2025-02-24,API/闭源,ClosedAPI,混合推理,,75.2,89.0,81.8,63.6,69.2,66.1,1432.0,860000,35.0,0.72,https://www.anthropic.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-02,2026-06-05,False,True,True,0.9024390243902438,0.933333333333333,0.8992805755395684,0.8520286396181386,0.7426470588235294,0.900874635568513,74.15,0.8896280616873302,0.9384615384615385,0.911,,0.736
Phi-4 mini,Microsoft,Phi,2025-02-26,开放权重,PhiForCausalLM,蒸馏/小模型,3.8,50.8,75.0,62.1,34.0,45.0,41.5,1243.0,120000,102.0,0.26,https://techcommunity.microsoft.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-02,2026-06-05,True,False,True,0.15853658536585352,0.2666666666666664,0.19064748201438866,0.1455847255369929,0.29779411764705876,0.18367346938775503,51.4,0.2016933776837013,0.21153846153846154,0.212,13.526,0.794
Gemma 3 12B,Google,Gemma,2025-03-12,开放权重,GemmaForCausalLM,多模态指令微调,12.0,58.8,81.7,69.0,40.5,48.9,48.8,1305.0,180000,48.0,0.64,https://blog.google/technology/developers/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-03,2026-06-05,True,True,True,0.4024390243902437,0.5857142857142856,0.4388489208633095,0.30071599045346065,0.36948529411764697,0.3965014577259474,57.95,0.39975808890232856,0.45,0.436,4.829,0.821
Gemma 3 27B,Google,Gemma,2025-03-12,开放权重,GemmaForCausalLM,多模态指令微调,27.0,63.2,84.0,72.3,46.6,55.2,53.1,1280.0,160000,27.0,0.94,https://blog.google/technology/developers/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-03,2026-06-05,True,False,True,0.5365853658536585,0.695238095238095,0.5575539568345325,0.44630071599045357,0.4852941176470588,0.521865889212828,62.4,0.5343211369821591,0.35384615384615387,0.487,2.311,1.044
